fold,AUC,accuracy,precision,recall,F1
1,0.840671817860092,0.7452574525745257,0.7724137931034483,0.6473988439306358,0.7044025157232705
2,0.8131414415477173,0.7588075880758808,0.8043478260869565,0.6416184971098265,0.7138263665594855
3,0.8165034800047186,0.7588075880758808,0.7530120481927711,0.7225433526011561,0.7374631268436578
4,0.8450218237584051,0.7750677506775068,0.7586206896551724,0.7630057803468208,0.7608069164265129
5,0.7580090175605125,0.6875,0.7209302325581395,0.5406976744186046,0.617940199335548
6,0.8079022306597058,0.7527173913043478,0.7913669064748201,0.6395348837209303,0.707395498392283
7,0.8372241338395824,0.7635869565217391,0.7348066298342542,0.7732558139534884,0.7535410764872521
8,0.8367346938775511,0.7527173913043478,0.8584070796460177,0.563953488372093,0.6807017543859649
9,0.8302088277171334,0.7608695652173914,0.7333333333333333,0.7674418604651163,0.7499999999999999
10,0.7772306597057428,0.6983695652173914,0.6942675159235668,0.6337209302325582,0.662613981762918
